series	cos_mean	cos_min	verdict	sample_file
Toaru Ossan no VRMMO Katsudouki (A Playthrough of a Certain Dude's VRMMO Life)	NA	NA	FILE_GONE	Toaru Ossan no VRMMO Katsudouki (A Playthrough of a Certain Dude's VRMMO Life)/[Judas] Toaru Ossan - S01E01.mp4
Tomb Raider King	0.7837	0.7392	CORRUPT	Tomb Raider King/Tomb.Raider.King.S01E01.1080p.WEBRip.JPN.AAC2.0.H.264-ToonsHub.mp4
Tonari no Kaibutsu-kun (My Little Monster)	0.7405	0.7360	CORRUPT	Tonari no Kaibutsu-kun (My Little Monster)/Tonari no Kaibutsu-kun - E01.mp4
Tsuihou Sareta Tensei Juukishi wa Game Chishiki de Musou Suru (The Exiled Heavy Knight Knows How to Game the System)	0.7538	0.7086	CORRUPT	Tsuihou Sareta Tensei Juukishi wa Game Chishiki de Musou Suru (The Exiled Heavy Knight Knows How to Game the System)/The.Exiled.Heavy.Knight.Knows.How.to.Game.the.System.S01E01.1080p.BILI.WEB-DL.JPN.AAC2.0.H.265.MSubs-ToonsHub.mp4
Urusei Yatsura	0.8535	0.8492	CORRUPT	Urusei Yatsura/Urusei Yatsura - 001 - Young Love On The Run - Between A Rock And A Hard Place.mp4
WITH LOVE, MAE	0.8051	0.8027	CORRUPT	WITH LOVE, MAE/WITH LOVE MAE - Animated Short Film (Thesis Film) [3nXobulhN7Y].mp4
Wistoria - Wand and Sword	0.8018	0.7865	CORRUPT	Wistoria - Wand and Sword/S01E01-Like a Lone Sword [E2514310].mp4
Wonder Egg Priority	NA	NA	FILE_GONE	Wonder Egg Priority/Wonder Egg Priority - S01E01 - The Domain Of Children.mp4
Wotaku Ni Koi Wa Muzukashii (Wotakoi: Love is Hard for Otaku)	0.7519	0.7498	CORRUPT	Wotaku Ni Koi Wa Muzukashii (Wotakoi: Love is Hard for Otaku)/[CosmicDuck] Wotaku Ni Koi Wa Muzukashii OVA.mp4
Yano-kun no Futsuu no Hibi	0.7542	0.7531	CORRUPT	Yano-kun no Futsuu no Hibi/[EMBER] Yano-kun no Futsuu no Hibi - 01.mp4
Yao-Chinese Folktales	0.6209	0.5976	CORRUPT	Yao-Chinese Folktales/[AniArchive] Zhongguo Qi Tan - 01 [www][3840x1608][E8A7A1BF].mp4
Yofukashi no Uta (Call of the Night)	0.7854	0.7476	CORRUPT	Yofukashi no Uta (Call of the Night)/Call of the Night - S01E01 (BD 1080p x265 Opus 2.0) [Dual Audio] [NTRX].mp4
Your Name	0.7570	0.6916	CORRUPT	Your Name/[Judas] Kimi no Na Wa. (Your Name.) [BD 2160p 4K UHD][HEVC x265 10bit][Dual-Audio][Multi-Subs].mp4
Yowayowa Sensei	0.6785	0.6762	CORRUPT	Yowayowa Sensei/[denisplay] Yowayowa Sensei - S01E01 (1080p) [AV1].mp4
Yumemiru Danshi wa Genjitsushugisha (The Dreaming Boy Is a Realist)	0.7541	0.6918	CORRUPT	Yumemiru Danshi wa Genjitsushugisha (The Dreaming Boy Is a Realist)/S01E01-I Like You. Please Go Out With Me [BC6021D2].mp4
